🌸刘公子的,#genre#
北京卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=bjwshd8m/8000000
天津卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=tjwshd8m/8000000
辽宁卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=lnwshd8m/8000000
安徽卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=ahwshd8m/8000000
黑龙江卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hljwshd8m/8000000
广东卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=gdwshd8m/8000000
深圳卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=szwshd8m/8000000
湖北卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hubeiws8m/8000000
吉林卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=jlwshd8m/8000000
山东卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=sdws8m/8000000
江西卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=jxws8m/8000000
河南卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hnwshd8m/8000000
河北卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hbwshd8m/8000000
甘肃卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=gswshd8m/8000000
重庆卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cqws8m/8000000
东南卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dnwshd8m/8000000
云南卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=ynwshd8m/8000000
贵州卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=gzwshd8m/8000000
海南卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hainanwshd8m/8000000
欢笑剧场 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hxjc8m/8000000
劲爆体育 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=jbtyhd8m/8000000
快乐垂钓 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=klcd8m/8000000
金鹰纪实 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=jyjs8m/8000000
戏曲精选 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=xqjx8m/8000000
上海第一财经 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dycjhd8m/8000000
上视新闻 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=xwzhhd8m/8000000
上海都市 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dshd8m/8000000
上海纪实 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=jspdhd/4000000
东方影视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dfyshd8m/8000000
五星体育 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=wxtyhd8m/8000000
上视外语 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=icshd8m/8000000
七彩戏剧 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=qcxjhd8m/8000000
上海教育 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=setvhd/8000000
全纪实 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=qjshd8m/8000000
生活时尚 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=shss8m/8000000
新视觉 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=xsjhd8m/8000000
游戏风云 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=yxfy8m/8000000
热门综艺 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=rmzy8m/8000000
超级体育 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=qcsj8m/8000000
健康养生 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=jkys8m/8000000
百变课堂 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=bbkt8m/8000000
看天下精选 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=ktxjx8m/8000000
华语影院 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hyyy8m/8000000
电竞天堂 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=djtt8m/8000000
青春动漫 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=qcdm8m/8000000
宝宝动画 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=bbdh8m/8000000
星光影院 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=xgyy8m/8000000
谍战剧场 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dzjc8m/8000000
全球大片 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=qqdp8m/8000000
热门剧场 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=rmjc8m/8000000
陶瓷高清 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=taocihd/8000000
中国教育-1 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=zgjy1t8m/8000000
中国教育-4 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=zgjy4hd8m/8000000
卡酷少儿 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=kkse8m/8000000
纪实科教 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dajs8m/8000000
茶频道 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cpdhdavs8m/8000000
足球高清 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=zqpd8m/8000000
炫动卡通 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hhxd8m/8000000
东方财经 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dfcjhd8m/8000000
都市剧场 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dsjc8m/8000000
动漫秀场 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dmxc8m/8000000
法治天地 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=fztd8m/8000000
金色学堂 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=jingsepd8m/8000000
魅力足球 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=mlyyhd8m/8000000
🌸江苏ipv6,#genre#
8K测试 48M4320,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/wh7f454c46tw1934851583_-1658503044/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8?icpid=3&RTS=1674386345&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
CCTV16-4K 18M2160,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/wh7f454c46tw3303805862_1451729760/ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8?icpid=3&RTS=1674379124&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
CCTV16-4K 25M2160,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw3324980988_-41690276/ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8?icpid=3&RTS=1674379145&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
CCTV16-4K 34M2160HDR,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw3797101779_1427264412/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8?icpid=4&RTS=1674379617&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3
SiTV欢笑剧场 12M2160,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw3653121614_498192706/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?icpid=3&RTS=1674379473&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
纯享4K 12M2160,http://[2409:8087:2001:20:2800:0:df6e:eb12]:80/wh7f454c46tw3027752919_-1874130277/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8?icpid=3&RTS=1674378848&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
纯享4K 16M2160,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/wh7f454c46tw3154895646_1897439205/ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8?icpid=3&RTS=1674378975&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
纯享4K 16M2160,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/wh7f454c46tw2443769612_-1188450915/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8?icpid=3&RTS=1674369674&from=40&ocs=2_2409:8087:2004:20:2800:0:df6e:ec27_80&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
纯享4K 25M2160HDR,http://[2409:8087:2001:20:2800:0:df6e:eb11]:80/wh7f454c46tw3557828768_-2114508791/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8?icpid=3&RTS=1674379378&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
纯享4K 30M2160HDR,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/wh7f454c46tw2045655319_-2135022099/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1674373571&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
4K修复 7M2160HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb15]:80/wh7f454c46tw3859899175_1232992871/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8?icpid=3&RTS=1674379680&from=40&popid=40&hms_devid=2115&prioritypopid=40&vqe=3
凤凰中文 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰资讯 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
CCTV1 3M1080,http://[2409:8087:2001:20:2800:0:df6e:eb07]:80/wh7f454c46tw1527557465_-1431215922/ott.mobaibox.com/PLTV/3/224/3221227375/index.m3u8?icpid=3&RTS=1674385937&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
CCTV1 3M1080,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/wh7f454c46tw1750297731_174117004/ott.mobaibox.com/PLTV/3/224/3221227736/index.m3u8?icpid=3&RTS=1674386160&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
CCTV1 3M1080,http://[2409:8087:2001:20:2800:0:df6e:eb11]:80/wh7f454c46tw1750497522_339657307/ott.mobaibox.com/PLTV/3/224/3221227739/index.m3u8?icpid=3&RTS=1674386160&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
CCTV1 4.8M1080HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/wh7f454c46tw3963387606_1140881910/ott.mobaibox.com/PLTV/3/224/3221227641/index.m3u8?icpid=3&RTS=1674379783&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV1 4M1080,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/wh7f454c46tw1925313110_1051745570/ott.mobaibox.com/PLTV/3/224/3221226316/index.m3u8?icpid=3&RTS=1674386335&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
CCTV1 4M1080,http://[2409:8087:2001:20:2800:0:df6e:eb0c]:80/wh7f454c46tw3963514148_-902666800/ott.mobaibox.com/PLTV/3/224/3221225530/index.m3u8?icpid=3&RTS=1674379783&from=40&ocs=2_2409:8087:2001:20:2800:0:df6e:eb05_80&popid=40&hms_devid=2040&prioritypopid=40&vqe=3
CCTV1 4M1080,http://[2409:8087:2001:20:2800:0:df6e:eb15]:80/wh7f454c46tw3963797831_838224880/ott.mobaibox.com/PLTV/3/224/3221227494/index.m3u8?icpid=3&RTS=1674379784&from=40&popid=40&hms_devid=2115&prioritypopid=40&vqe=3
CCTV1 4M1080HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1527830964_-1694427992/ott.mobaibox.com/PLTV/3/224/3221228146/index.m3u8?icpid=3&RTS=1674385938&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
CCTV1 4M1080HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb0f]:80/wh7f454c46tw3964003222_765154567/ott.mobaibox.com/PLTV/3/224/3221227644/index.m3u8?icpid=3&RTS=1674379784&from=40&popid=40&hms_devid=2111&prioritypopid=40&vqe=3
CCTV1 5.5M1080HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb12]:80/wh7f454c46tw3964344116_67852184/ott.mobaibox.com/PLTV/3/224/3221227675/index.m3u8?icpid=3&RTS=1674379784&from=40&ocs=2_2409:8087:2001:20:2800:0:df6e:eb0f_80&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV1 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb08]:80/wh7f454c46tw1528000783_-231655737/ott.mobaibox.com/PLTV/3/224/3221228049/index.m3u8?icpid=3&RTS=1674385938&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
CCTV1 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb0c]:80/wh7f454c46tw3965177838_-845463256/ott.mobaibox.com/PLTV/3/224/3221228075/index.m3u8?icpid=3&RTS=1674379785&from=40&popid=40&hms_devid=2040&prioritypopid=40&vqe=3
CCTV1 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb12]:80/wh7f454c46tw3964691378_-587544707/ott.mobaibox.com/PLTV/3/224/3221227462/index.m3u8?icpid=3&RTS=1674379785&from=40&ocs=2_2409:8087:2004:20:2800:0:df6e:ec0d_80&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV1 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb12]:80/wh7f454c46tw3964843858_1182658871/ott.mobaibox.com/PLTV/3/224/3221227634/index.m3u8?icpid=3&RTS=1674379785&from=40&ocs=2_2409:8087:2001:20:2800:0:df6e:eb0f_80&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV1 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb14]:80/wh7f454c46tw3964515718_-284491133/ott.mobaibox.com/PLTV/3/224/3221227431/index.m3u8?icpid=3&RTS=1674379784&from=40&ocs=2_2409:8087:2004:20:2800:0:df6e:ec14_80&popid=40&hms_devid=2115&prioritypopid=40&vqe=3
CCTV1 8M1080HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw3965487430_-634044824/ott.mobaibox.com/PLTV/3/224/3221228213/index.m3u8?icpid=3&RTS=1674379785&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
CCTV1 8M1080HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb12]:80/wh7f454c46tw3965349198_413260074/ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8?icpid=3&RTS=1674379785&from=40&ocs=2_2409:8087:2001:20:2800:0:df6e:eb10_80&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV1 Max16M1080,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw1528379826_-632121028/ott.mobaibox.com/PLTV/3/224/3221228149/index.m3u8?icpid=3&RTS=1674385938&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
CCTV1 Max16M1080,http://[2409:8087:2001:20:2800:0:df6e:eb15]:80/wh7f454c46tw1925441929_1417964840/ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8?icpid=3&RTS=1674386335&from=40&ocs=2_2409:8087:2004:20:2800:0:df6e:ec0d_80&popid=40&hms_devid=2115&prioritypopid=40&vqe=3
CCTV2 12M1080,http://[2409:8087:2001:20:2800:0:df6e:eb17]:80/wh7f454c46tw1925564042_904960692/ott.mobaibox.com/PLTV/3/224/3221228094/index.m3u8?icpid=3&RTS=1674386335&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
CCTV2 3M1080,http://[2409:8087:2001:20:2800:0:df6e:eb14]:80/wh7f454c46tw3966154438_-1330575080/ott.mobaibox.com/PLTV/3/224/3221226993/index.m3u8?icpid=3&RTS=1674379786&from=40&popid=40&hms_devid=2115&prioritypopid=40&vqe=3
